School,Player,Year,Hometown,UTR,Profile_URL,UTR_URL
USC Trojans,Pablo Robledo Hoyos,Fr,"Bogota, Colombia",11.85,https://usctrojans.com/sports/mens-tennis/roster/pablo-robledo-hoyos/17860,https://app.utrsports.net/profiles/5891759
USC Trojans,Nathan Trouve,N/A,"Grenoble, France",Unrated,https://usctrojans.com/sports/mens-tennis/roster/nathan-trouve/17859,https://app.utrsports.net/profiles/4664723
Michigan Wolverines,Arnav Bhandari,N/A,"San Ramon, Calif.",12.13,https://mgoblue.com/sports/mens-tennis/roster/arnav-bhandari/27303,https://app.utrsports.net/profiles/3104668
Michigan Wolverines,Alex Cairo,N/A,"Dallas, Texas",12.0,https://mgoblue.com/sports/mens-tennis/roster/alex-cairo/27297,https://app.utrsports.net/profiles/4998636
Michigan Wolverines,Max Dahlin,N/A,"Karlstad, Sweden",13.94,https://mgoblue.com/sports/mens-tennis/roster/max-dahlin/27298,https://app.utrsports.net/profiles/5619888
Michigan Wolverines,Mert Oral,N/A,"Ann Arbor, Mich.",12.73,https://mgoblue.com/sports/mens-tennis/roster/mert-oral/27300,https://app.utrsports.net/profiles/4888907
Michigan Wolverines,Joseph Oyebog Jr.,N/A,Skip Ad,Unrated,https://mgoblue.com/sports/mens-tennis/roster/joseph-oyebog-jr/27304,https://app.utrsports.net/profiles/4660035
Michigan Wolverines,Pierce Shaya,N/A,"Bloomfield Hills, Mich.",12.0,https://mgoblue.com/sports/mens-tennis/roster/pierce-shaya/27305,https://app.utrsports.net/profiles/3205675
Michigan Wolverines,Nicholas Steiglehner,N/A,"New York, N.Y.",Unrated,https://mgoblue.com/sports/mens-tennis/roster/nicholas-steiglehner/27301,https://app.utrsports.net/profiles/5441462
Michigan Wolverines,Bjorn Swenson,N/A,"North Oaks, Minn.",13.14,https://mgoblue.com/sports/mens-tennis/roster/bjorn-swenson/27302,https://app.utrsports.net/profiles/112464
Indiana Hoosiers,Michael Andre,N/A,"Las Vegas, Nev.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/michael-andre/20370,https://app.utrsports.net/profiles/4319919
Indiana Hoosiers,Matteo Antonescu,N/A,"Mountain View, Calif.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/matteo-antonescu/20360,https://app.utrsports.net/profiles/4900777
Indiana Hoosiers,Aidan Atwood,N/A,"Suwanee, Ga.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/aidan-atwood/20361,https://app.utrsports.net/profiles/244084
Indiana Hoosiers,Aryan Badlani,N/A,"Roslyn Heights, N.Y.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/aryan-badlani/20381,https://app.utrsports.net/profiles/247294
Indiana Hoosiers,Luc Boulier,Sr,"Santiago, Chile",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/luc-boulier/20373,https://app.utrsports.net/profiles/2547016
Indiana Hoosiers,Braeden Gelletich,N/A,"Goshen, N.Y.",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/braeden-gelletich/20374,https://app.utrsports.net/profiles/253475
Indiana Hoosiers,Sam Landau,N/A,"Los Angeles, Calif.",Unrated,https://iuhoosiers.com/sports/mens-tennis/roster/sam-landau/20382,https://app.utrsports.net/profiles/4651690
Indiana Hoosiers,Ben Pomeranets,N/A,"Cleveland, Ohio",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/ben-pomeranets/20364,https://app.utrsports.net/profiles/4196845
Indiana Hoosiers,Karan Raghavendra,N/A,"Dublin, Calif.",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/karan-raghavendra/20376,https://app.utrsports.net/profiles/5185144
Indiana Hoosiers,Sam Scherer,N/A,"Bradenton, Fla.",11.0,https://iuhoosiers.com/sports/mens-tennis/roster/sam-scherer/20377,https://app.utrsports.net/profiles/1784533
Indiana Hoosiers,Deacon Thomas,Sr,"Houston, Texas",12.0,https://iuhoosiers.com/sports/mens-tennis/roster/deacon-thomas/20367,https://app.utrsports.net/profiles/4158313
Indiana Hoosiers,Jip van Assendelft,Sr,"Nederweert, Netherlands",12.82,https://iuhoosiers.com/sports/mens-tennis/roster/jip-van-assendelft/20379,https://app.utrsports.net/profiles/5438889
Indiana Hoosiers,Facundo Yunis,N/A,"Munich, Germany",13.0,https://iuhoosiers.com/sports/mens-tennis/roster/facundo-yunis/20369,https://app.utrsports.net/profiles/3151067
Northwestern Wildcats,Greyson Casey,N/A,"Oro Valley, Arizona",12.0,https://nusports.com/sports/mens-tennis/roster/greyson-casey/12742,https://app.utrsports.net/profiles/4915757
Northwestern Wildcats,Dylan Charlap,N/A,"Palos Verdes Estates, Calif.",12.0,https://nusports.com/sports/mens-tennis/roster/dylan-charlap/12748,https://app.utrsports.net/profiles/5621453
Northwestern Wildcats,Lucas Coriaty,So,"Long Beach, California",11.0,https://nusports.com/sports/mens-tennis/roster/lucas-coriaty/12743,https://app.utrsports.net/profiles/2927559
Northwestern Wildcats,Dylan Fayerman,N/A,"Acton, Mass.",11.0,https://nusports.com/sports/mens-tennis/roster/dylan-fayerman/12749,https://app.utrsports.net/profiles/256626
Northwestern Wildcats,Jacob Golden,N/A,"Austin, Texas",11.0,https://nusports.com/sports/mens-tennis/roster/jacob-golden/12750,https://app.utrsports.net/profiles/3067378
Northwestern Wildcats,Cooper Han,N/A,Skip Ad,12.0,https://nusports.com/sports/mens-tennis/roster/cooper-han/12751,https://app.utrsports.net/profiles/791352
Northwestern Wildcats,Cyrus Mahjoob,Jr,Skip Ad,12.77,https://nusports.com/sports/mens-tennis/roster/cyrus-mahjoob/12752,https://app.utrsports.net/profiles/117359
Northwestern Wildcats,Owen Megargee,N/A,"Washington, D.C.",11.0,https://nusports.com/sports/mens-tennis/roster/owen-megargee/12744,https://app.utrsports.net/profiles/2082161
Northwestern Wildcats,Chad Miller,N/A,"Cincinnati, Ohio",12.0,https://nusports.com/sports/mens-tennis/roster/chad-miller/12745,https://app.utrsports.net/profiles/4217007
Northwestern Wildcats,Carter Pate,So,"Charleston, South Carolina",13.0,https://nusports.com/sports/mens-tennis/roster/carter-pate/12746,https://app.utrsports.net/profiles/5823675
Northwestern Wildcats,Ethan Schiffman,Jr,Skip Ad,Unrated,https://nusports.com/sports/mens-tennis/roster/ethan-schiffman/12753,https://app.utrsports.net/profiles/181089
Northwestern Wildcats,Vincent Yang,N/A,"Kirkland, Washington",Unrated,https://nusports.com/sports/mens-tennis/roster/vincent-yang/12747,https://app.utrsports.net/profiles/3347893
Wisconsin Badgers,Edouard Aubert,N/A,"Geneva, Switzerland",12.0,https://uwbadgers.com/sports/mens-tennis/roster/edouard-aubert/14677,https://app.utrsports.net/profiles/1083911
Wisconsin Badgers,Collin Beduhn,N/A,"Wayzata, Minn.",11.0,https://uwbadgers.com/sports/mens-tennis/roster/collin-beduhn/14678,https://app.utrsports.net/profiles/3073832
Wisconsin Badgers,Matthew Fullerton,N/A,"Edina, Minn.",Unrated,https://uwbadgers.com/sports/mens-tennis/roster/matthew-fullerton/14679,https://app.utrsports.net/profiles/5149538
Wisconsin Badgers,Ferdinand Kloesters,N/A,"Grünwald, Germany",12.0,https://uwbadgers.com/sports/mens-tennis/roster/ferdinand-kloesters/14680,https://app.utrsports.net/profiles/290224
Wisconsin Badgers,Sachiv Kumar,N/A,"Novi, Michigan",12.0,https://uwbadgers.com/sports/mens-tennis/roster/sachiv-kumar/14681,https://app.utrsports.net/profiles/363150
Wisconsin Badgers,Patrik Meszaros,N/A,"Budapest, Hungary",13.4,https://uwbadgers.com/sports/mens-tennis/roster/patrik-meszaros/14682,https://app.utrsports.net/profiles/4803674
Wisconsin Badgers,Michael Minasyan,N/A,"Stockholm, Sweden",13.13,https://uwbadgers.com/sports/mens-tennis/roster/michael-minasyan/14683,https://app.utrsports.net/profiles/263819
Wisconsin Badgers,Oliver Olsson,N/A,"Berlin, Germany",12.0,https://uwbadgers.com/sports/mens-tennis/roster/oliver-olsson/14684,https://app.utrsports.net/profiles/4707790
Wisconsin Badgers,Tomas Zlatohlavek,N/A,"Prague, Czech Republic",12.0,https://uwbadgers.com/sports/mens-tennis/roster/tomas-zlatohlavek/14685,https://app.utrsports.net/profiles/3306503
Michigan State Spartans,Taym Alazmeh,Jr,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.02,https://msuspartans.com/sports/mens-tennis/roster/taym-alazmeh/16356,https://app.utrsports.net/profiles/5813921
Michigan State Spartans,Ozan Baris,N/A,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.63,https://msuspartans.com/sports/mens-tennis/roster/ozan-baris/16357,https://app.utrsports.net/profiles/119645
Michigan State Spartans,Matthew Forbes,So,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",13.6,https://msuspartans.com/sports/mens-tennis/roster/matthew-forbes/16358,https://app.utrsports.net/profiles/214435
Michigan State Spartans,Vuk Radjenovic,So,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",12.85,https://msuspartans.com/sports/mens-tennis/roster/vuk-radjenovic/16359,https://app.utrsports.net/profiles/3309846
Michigan State Spartans,Danial Rakhmatullayev,N/A,"michigan state officially dedicates spartan tennis, new home for men’s and women’s programs",Unrated,https://msuspartans.com/sports/mens-tennis/roster/danial-rakhmatullayev/16360,https://app.utrsports.net/profiles/4659150
