date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2025-04-18,3,3,True,UCLA,Wisconsin,Kaylan Bigun,Edouard Aubert,"7-5, 6-1",Kaylan Bigun,9-11,12-8
2025-04-18,4,0,False,UCLA,Wisconsin,Spencer Johnson,Matthew Fullerton,"1-6, 5-5",Unfinished,9-11,12-8
2025-04-18,5,1,False,UCLA,Wisconsin,Alexander Hoogmartens,Tomas Zlatohlavek,"6-1, 6-4",Alexander Hoogmartens,9-11,12-8
2025-04-18,6,0,False,UCLA,Wisconsin,Aadarsh Tripathi,Sachiv Kumar,6-7(9),Unfinished,9-11,12-8
2025-04-13,1,1,False,Michigan State,UCLA,Ozan Baris,Rudy Quan,"1-6, 2-6",Rudy Quan,11-8,14-8
2025-04-13,2,3,False,Michigan State,UCLA,Max Sheldon,Emon van Loben Sels,"2-6, 4-6",Emon van Loben Sels,11-8,14-8
2025-04-13,3,0,False,Michigan State,UCLA,Matthew Forbes,Kaylan Bigun,"3-6, 4-5",Unfinished,11-8,14-8
2025-04-13,4,2,False,Michigan State,UCLA,Vuk Radjenovic,Alexander Hoogmartens,"6-3, 1-6, 1-6",Alexander Hoogmartens,11-8,14-8
2025-04-13,5,4,True,Michigan State,UCLA,Mitchell Sheldon,Aadarsh Tripathi,"4-6, 4-6",Aadarsh Tripathi,11-8,14-8
2025-04-13,6,0,False,Michigan State,UCLA,D. Rakhmatullayev,Giacomo Revelli,"5-7, 3-4",Unfinished,11-8,14-8
2025-04-11,1,4,True,Michigan,UCLA,Will Cooksey,Rudy Quan,"3-6, 3-6",Rudy Quan,10-8,14-9
2025-04-11,2,0,False,Michigan,UCLA,Bjorn Swenson,Emon van Loben Sels,"5-7, 1-5",Unfinished,10-8,14-9
2025-04-11,3,0,False,Michigan,UCLA,Patorn Hanchaikul,Kaylan Bigun,"3-6, 6-3, 1-1",Unfinished,10-8,14-9
2025-04-11,4,1,False,Michigan,UCLA,Nicholas Steiglehner,Alexander Hoogmartens,"4-6, 3-6",Alexander Hoogmartens,10-8,14-9
2025-04-11,5,3,False,Michigan,UCLA,Alex Cairo,Gianluca Ballotta,"3-6, 2-6",Gianluca Ballotta,10-8,14-9
2025-04-11,6,2,False,Michigan,UCLA,Mert Oral,Giacomo Revelli,"2-6, 3-6",Giacomo Revelli,10-8,14-9
