date,singles_number,order_finished,clincher,player1_school,player2_school,player1_name,player2_name,score,match_winner,home_team_record,away_team_record
2026-04-03,2,0,False,Ohio State,UCLA,Preston Stearns,Rudy Quan,"6-1, 6-7(3), 1-1",Unfinished,12-5,20-3
2026-04-03,3,0,False,Ohio State,UCLA,Jack Anthrop,Emon van Loben Sels,"5-7, 6-1, 3-0",Unfinished,12-5,20-3
2026-04-03,4,0,False,Ohio State,UCLA,Alex Okonkwo,Andy Nguyen,"6-4, 6-6",Unfinished,12-5,20-3
2026-04-03,5,2,False,Ohio State,UCLA,Nikita Filin,Aadarsh Tripathi,"6-2, 6-3",Nikita Filin,12-5,20-3
2026-04-03,6,3,True,Ohio State,UCLA,Bryce Nakashima,Cassius Chinlund,"6-1, 7-6(6)",Bryce Nakashima,12-5,20-3
2026-03-29,1,5,True,UCLA,Michigan State,Spencer Johnson,Aristotelis Thanos,"6-1, 2-6, 2-6",Aristotelis Thanos,11-7,12-4
2026-03-29,2,2,False,UCLA,Michigan State,Emon van Loben Sels,Matthew Forbes,"6-2, 6-2",Emon van Loben Sels,11-7,12-4
2026-03-29,3,0,False,UCLA,Michigan State,Andy Nguyen,Ozan Baris,"3-6, 5-6",Unfinished,11-7,12-4
2026-03-29,4,4,False,UCLA,Michigan State,Aadarsh Tripathi,D. Rakhmatullayev,"4-6, 1-6",D. Rakhmatullayev,11-7,12-4
2026-03-29,5,3,False,UCLA,Michigan State,Cassius Chinlund,Taym Alazmeh,"6-4, 6-2",Cassius Chinlund,11-7,12-4
2026-03-29,6,1,False,UCLA,Michigan State,Bengt Reinhard,Mitchell Sheldon,"2-6, 2-6",Mitchell Sheldon,11-7,12-4
2026-03-27,1,2,False,UCLA,Michigan,Spencer Johnson,Max Dahlin,"4-6, 2-6",Max Dahlin,7-8,12-3
2026-03-27,2,0,False,UCLA,Michigan,Rudy Quan,Bjorn Swenson,"3-6, 6-3, 1-2",Unfinished,7-8,12-3
2026-03-27,3,3,False,UCLA,Michigan,Emon van Loben Sels,Mert Oral,"6-2, 6-4",Emon van Loben Sels,7-8,12-3
2026-03-27,4,4,False,UCLA,Michigan,Andy Nguyen,Nicholas Steiglehner,"2-6, 4-6",Nicholas Steiglehner,7-8,12-3
2026-03-27,5,1,False,UCLA,Michigan,Cassius Chinlund,Alex Cairo,"6-3, 6-0",Cassius Chinlund,7-8,12-3
2026-03-27,6,5,True,UCLA,Michigan,Bengt Reinhard,Pierce Shaya,"6-3, 6-4",Bengt Reinhard,7-8,12-3
2026-03-22,1,1,False,Nebraska,UCLA,Nikolay Sysoev,Rudy Quan,"2-6, 1-6",Rudy Quan,11-3,9-8
2026-03-22,2,5,True,Nebraska,UCLA,Jeri Lassila,Emon van Loben Sels,"6-7(5), 3-6",Emon van Loben Sels,11-3,9-8
2026-03-22,3,4,False,Nebraska,UCLA,Niels Van Der Sijs,Andy Nguyen,"4-6, 2-6",Andy Nguyen,11-3,9-8
2026-03-22,4,2,False,Nebraska,UCLA,Joan Torres Espinosa,Aadarsh Tripathi,"3-6, 2-6",Aadarsh Tripathi,11-3,9-8
2026-03-22,5,3,False,Nebraska,UCLA,Henry Lamchinniah,Cassius Chinlund,"0-6, 1-6",Cassius Chinlund,11-3,9-8
2026-03-22,6,0,False,Nebraska,UCLA,Matt Shearer,Bengt Reinhard,"3-6, 2-3",Unfinished,11-3,9-8
2026-03-20,1,2,False,Wisconsin,UCLA,Michael Minasyan,Spencer Johnson,"3-6, 2-6",Spencer Johnson,10-3,11-4
2026-03-20,2,6,True,Wisconsin,UCLA,Patrik Meszaros,Rudy Quan,"5-7, 6-4, 0-1",Rudy Quan,10-3,11-4
2026-03-20,3,1,False,Wisconsin,UCLA,Ferdinand Kloesters,Emon van Loben Sels,"3-6, 2-6",Emon van Loben Sels,10-3,11-4
2026-03-20,4,3,False,Wisconsin,UCLA,Edouard Aubert,Andy Nguyen,"5-7, 2-6",Andy Nguyen,10-3,11-4
2026-03-20,5,5,False,Wisconsin,UCLA,Tomas Zlatohlavek,Aadarsh Tripathi,"5-7, 4-6",Aadarsh Tripathi,10-3,11-4
2026-03-20,6,4,False,Wisconsin,UCLA,Matthew Fullerton,Cassius Chinlund,"1-6, 5-7",Cassius Chinlund,10-3,11-4
2026-03-13,1,4,True,USC,UCLA,Branko Djuric,Spencer Johnson,"6-4, 2-6, 6-7(6)",Spencer Johnson,9-3,10-4
2026-03-13,2,2,False,USC,UCLA,Nathan Trouve,Rudy Quan,"2-6, 6-4, 6-3",Nathan Trouve,9-3,10-4
2026-03-13,3,0,False,USC,UCLA,Max Exsted,Emon van Loben Sels,"7-5, 5-7, 4-5",Unfinished,9-3,10-4
2026-03-13,4,1,False,USC,UCLA,Andrin Casanova,Andy Nguyen,"5-7, 3-6",Andy Nguyen,9-3,10-4
2026-03-13,5,3,False,USC,UCLA,Jack McCarthy,Aadarsh Tripathi,"6-3, 4-6, 1-6",Aadarsh Tripathi,9-3,10-4
2026-03-13,6,0,False,USC,UCLA,Connor Church,Cassius Chinlund,"6-7(4), 6-2, 5-2",Unfinished,9-3,10-4
2026-03-08,1,5,False,UCLA,Purdue,Spencer Johnson,Nour Fathalla,"6-7(6), 6-2, 3-6",Nour Fathalla,4-7,8-3
2026-03-08,2,4,False,UCLA,Purdue,Rudy Quan,Henrik Villanger,"7-6(6), 6-3",Rudy Quan,4-7,8-3
2026-03-08,3,1,False,UCLA,Purdue,Emon van Loben Sels,Stefan Simeunovic,"6-2, 6-2",Emon van Loben Sels,4-7,8-3
2026-03-08,4,2,False,UCLA,Purdue,Andy Nguyen,Maj Premzl,"6-4, 6-2",Andy Nguyen,4-7,8-3
2026-03-08,5,3,False,UCLA,Purdue,Aadarsh Tripathi,Juan David Velasquez,"6-4, 7-6(6)",Aadarsh Tripathi,4-7,8-3
2026-03-08,6,6,True,UCLA,Purdue,Cassius Chinlund,Jacob Lee,"2-6, 7-6(2), 7-5",Cassius Chinlund,4-7,8-3
2026-03-06,1,0,False,UCLA,Indiana,Spencer Johnson,Sam Landau,"6-3, 6-7(7), 1-1",Unfinished,6-4,7-3
2026-03-06,2,4,False,UCLA,Indiana,Rudy Quan,Jip van Assendelft,"6-1, 4-6, 6-1",Rudy Quan,6-4,7-3
2026-03-06,3,5,True,UCLA,Indiana,Emon van Loben Sels,Facundo Yunis,"7-6(3), 6-2",Emon van Loben Sels,6-4,7-3
2026-03-06,4,1,False,UCLA,Indiana,Aadarsh Tripathi,Michael Andre,"6-4, 6-2",Aadarsh Tripathi,6-4,7-3
2026-03-06,5,3,False,UCLA,Indiana,Cassius Chinlund,Braeden Gelletich,"7-5, 6-2",Cassius Chinlund,6-4,7-3
2026-03-06,6,2,False,UCLA,Indiana,Bengt Reinhard,Aidan Atwood,"4-6, 4-6",Aidan Atwood,6-4,7-3
2026-02-26,1,3,False,UCLA,San Diego,Spencer Johnson,Oliver Tarvet,"6-3, 7-6(4)",Spencer Johnson,7-3,6-3
2026-02-26,2,6,True,UCLA,San Diego,Rudy Quan,Vincent Marysko,"3-6, 7-6(2), 7-5",Rudy Quan,7-3,6-3
2026-02-26,3,5,False,UCLA,San Diego,Emon van Loben Sels,Manvydas Balciunas,"4-6, 6-4, 6-3",Emon van Loben Sels,7-3,6-3
2026-02-26,4,1,False,UCLA,San Diego,Gianluca Ballotta,Stian Klaassen,"2-6, 4-6",Stian Klaassen,7-3,6-3
2026-02-26,5,2,False,UCLA,San Diego,Aadarsh Tripathi,Lambert Ruland,"4-6, 4-6",Lambert Ruland,7-3,6-3
