Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Giacomo Revelli,Mert Oral,12.0,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Emon Van Loben Sels,Bjorn Swenson,13.59,12.96,"7-5, 5-1"
"Dual Match: University of California, Los Angeles vs University of Michigan",2025-04-10,Gianluca Ballotta,Alex Cairo,12.0,12.33,"6-3, 6-2"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Sam Bossem,Emon Van Loben Sels,11.0,13.59,"1-6, 6-5"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Alexander Hoogmartens,reiya hattori,13.0,12.0,"6-2, 6-3"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Kaylan Bigun,Marcus Schoeman,13.24,12.0,"6-4, 6-2"
"Dual Match: University of California, Los Angeles vs Pennsylvania State University",2025-04-05,Rudy Quan,Charl Morgan,13.59,12.0,"6-3, 6-3"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Alexander Bernard,Rudy Quan,13.31,13.59,"7-6(5), 0-6"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Jack Anthrop,Alexander Hoogmartens,13.57,13.0,"6-1, 6-3"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,William Jansen,Kaylan Bigun,13.14,13.24,"6-3, 7-6(7)"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Bryce Nakashima,Aadarsh Tripathi,13.46,12.91,"7-5, 4-3"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Aidan Kim,Emon Van Loben Sels,13.74,13.59,"5-7, 6-4"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-03,Alexander Bernard,Rudy Quan,13.31,13.59,"7-6(5), 0-6, 3-1"
"Dual Match: University of California, Los Angeles vs The Ohio State University",2025-04-03,Aidan Kim,Emon Van Loben Sels,13.74,13.59,"5-7, 5-4"
"Dual Match: Ohio State University vs University of California, Los Angeles",2025-04-03,Brandon Carpico,Giacomo Revelli,12.0,12.0,"6-0, 7-6(5)"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Makk Peter,Rudy Quan,13.79,13.59,"6-4, 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Karl Lee,Giacomo Revelli,13.01,12.0,"6-2, 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Emon Van Loben Sels,Volodymyr Iakubenko,13.59,12.69,"7-6(4), 6-4"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Aadarsh Tripathi,Matteo Morazzi,12.91,12.0,"7-5, 2-6, 6-1"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Oscar Weightman,Alexander Hoogmartens,13.07,13.0,"5-7, 6-4, 6-3"
"Dual Match: University of California, Los Angeles vs University of Southern California",2025-03-31,Nathan Trouve,Kaylan Bigun,13.24,13.24,"1-6, 6-0, 6-1"
