Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Backhand,host,near,ad,-204.11480205588757,-479.67859798750374,39.496298118964724,272.0956036744002,host,-204.11480205588757,-479.67859798750374,39.496298118964724,272.0956036744002,Middle,Middle,mid
first,Backhand,host,near,ad,-193.2682086613175,-519.3776082674482,-22.11633311459925,318.7288167102465,host,-193.2682086613175,-519.3776082674482,-22.11633311459925,318.7288167102465,Middle,Middle,deep
first,Forehand,host,far,ad,94.66435914255828,547.3921533243016,-121.48509951874739,-332.5112150042027,host,-94.66435914255828,-547.3921533243016,121.48509951874739,332.5112150042027,Cross Court,Cross Court,deep
first,Backhand,Out,near,ad,-184.7136100174024,-498.9443296147904,122.98775699906157,520.103865922741,guest,-184.7136100174024,-498.9443296147904,122.98775699906157,520.103865922741,Cross Court,Cross Court,mid
first,Backhand,guest,far,ad,201.02156605413938,505.1239884074381,24.929615048106108,-276.34421478550905,guest,-201.02156605413938,-505.1239884074381,-24.929615048106108,276.34421478550905,Middle,Middle,mid
first,Backhand,host,far,ad,159.44991797892024,528.3303204284235,-94.77593503932111,-263.7300907697675,host,-159.44991797892024,-528.3303204284235,94.77593503932111,263.7300907697675,Cross Court,Cross Court,deep
first,Backhand,host,near,ad,-159.47219488180735,-541.2158245841473,-154.25373468933412,454.4756124232123,host,-159.47219488180735,-541.2158245841473,-154.25373468933412,454.4756124232123,Down the Line,Down the Line,deep
first,Backhand,host,near,ad,-194.09057852133455,-526.163298337436,-57.25278871388119,373.34810804880107,host,-194.09057852133455,-526.163298337436,-57.25278871388119,373.34810804880107,Down the Line,Down the Line,deep
first,Forehand,guest,near,ad,-80.98105861763096,-516.5709481624627,49.17737314083199,369.1987095361172,guest,-80.98105861763096,-516.5709481624627,49.17737314083199,369.1987095361172,Middle,Middle,deep
first,Backhand,host,far,ad,169.28689304453198,516.4156222657,-3.123704068239856,-247.35825131220818,host,-169.28689304453198,-516.4156222657,3.123704068239856,247.35825131220818,Middle,Middle,deep
first,Forehand,host,far,ad,92.36149387571781,574.9698873575331,-27.485028433931557,-212.71334208212983,host,-92.36149387571781,-574.9698873575331,27.485028433931557,212.71334208212983,Middle,Middle,deep
first,Backhand,guest,near,ad,-188.43764216963143,-501.6741688536341,-4.586630577425452,386.50606408553955,guest,-188.43764216963143,-501.6741688536341,-4.586630577425452,386.50606408553955,Middle,Middle,mid
first,Backhand,guest,near,ad,-161.2533519246761,-507.18785542406,-0.06250546806645939,315.1725120295835,guest,-161.2533519246761,-507.18785542406,-0.06250546806645939,315.1725120295835,Middle,Middle,mid
