Event Name,Date,Player1,Player1 UTR,Player2,Player2 UTR,Score,Searched Name
Sherwood Cup,2023-01-11,Aadarsh Tripathi,13.01,Pierce Brazil Rollins,0.0,"7-6(6), 6-3",Aadarsh Tripathi
Dennis Rizza Classic Jack Kramer club,2022-11-03,Vlad Cristian Breazu,13.32,Aadarsh Tripathi,13.01,,Aadarsh Tripathi
65th Annual Men's Intercollegiate Championships,2022-10-27,Phillip Jordan,13.36,Aadarsh Tripathi,13.01,"6-2, 7-5",Aadarsh Tripathi
65th Annual Men's Intercollegiate Championships,2022-10-27,Aadarsh Tripathi,13.01,Eleftherios Neos,0.0,"6-4, 3-6, 6-2",Aadarsh Tripathi
65th Annual Men's Intercollegiate Championships,2022-10-26,Aadarsh Tripathi,13.01,Leyton Bohren,0.0,"6-1, 6-3",Aadarsh Tripathi
ITA Division I Men's Southwest Regional Championships,2022-10-23,Daniel De Jonge,13.54,Aadarsh Tripathi,13.01,,Aadarsh Tripathi
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,13.01,Ryoma Matsushita,0.0,"6-4, 6-3",Aadarsh Tripathi
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,13.01,Fernando Fonseca,0.0,"7-5, 6-3",Aadarsh Tripathi
2022 UCSB Fall Classic,2022-10-08,Aadarsh Tripathi,13.01,LUCCA LIU,13.53,"6-4, 6-4",Aadarsh Tripathi
2022 UCSB Fall Classic,2022-10-08,Conrad Brown,12.0,Aadarsh Tripathi,13.01,"6-1, 6-3",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Samir Banerjee,13.84,,Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Andy Nguyen,13.0,,Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Cooper Williams,13.75,,Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Sebastian Sec,13.0,"6-1, 6-3",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Michael Zheng,14.46,Aadarsh Tripathi,13.01,"6-3, 6-2",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Eli Stephenson,13.55,"6-4, 1-6, 1-0(8)",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Gabe Avram,12.0,"6-2, 6-1",Aadarsh Tripathi
USTA Boys' 16 & 18 National Championships,2022-08-13,Aadarsh Tripathi,13.01,Jackson Morash,10.0,"6-0, 6-1",Aadarsh Tripathi
