Serve State,Stroke,Result,Hit Side,Hit Zone,Hit (x),Hit (y),Bounce (x),Bounce (y),Point Winner,shotContactX,shotContactY,shotLocationX,shotLocationY,return_zone_original,return_zone,return_contact
first,Forehand,guest,far,ad,16.70855752405086,484.1863024931881,-137.09581146099654,-17.492612642160726,guest,-16.70855752405086,-484.1863024931881,137.09581146099654,17.492612642160726,Cross Court,Cross Court,mid
first,Forehand,host,near,ad,-67.58188429567812,-480.1881725719304,-45.510334645645784,454.4970089673942,host,-67.58188429567812,-480.1881725719304,-45.510334645645784,454.4970089673942,Middle,Middle,mid
first,Backhand,host,near,ad,-151.83496828513591,-468.5258311458647,-82.0479002624248,351.82854330690486,host,-151.83496828513591,-468.5258311458647,-82.0479002624248,351.82854330690486,Down the Line,Down the Line,mid
first,Forehand,guest,far,ad,25.698321303573774,450.096325459085,2.5301126421684215,-198.27855971118368,guest,-25.698321303573774,-450.096325459085,-2.5301126421684215,198.27855971118368,Middle,Middle,inside
first,Forehand,guest,far,ad,27.64203849517382,466.84227908987253,-13.30704286963442,-184.07439304452433,guest,-27.64203849517382,-466.84227908987253,13.30704286963442,184.07439304452433,Middle,Middle,mid
first,Backhand,host,near,ad,-166.4129046368344,-447.59338910738035,83.6216371390644,289.42515857377873,host,-166.4129046368344,-447.59338910738035,83.6216371390644,289.42515857377873,Cross Court,Cross Court,inside
first,Forehand,host,far,ad,60.143389107580475,482.39209317560375,4.866354986874127,-443.4294838142941,host,-60.143389107580475,-482.39209317560375,-4.866354986874127,443.4294838142941,Middle,Middle,mid
first,Backhand,guest,far,ad,185.2521216097031,516.4820702097069,-42.56385061240146,-245.52434929996065,guest,-185.2521216097031,-516.4820702097069,42.56385061240146,245.52434929996065,Middle,Middle,deep
first,Forehand,host,near,ad,-58.124917978972604,-476.00168416423355,-46.94524278212798,453.20682414674746,host,-58.124917978972604,-476.00168416423355,-46.94524278212798,453.20682414674746,Middle,Middle,mid
first,Forehand,host,near,ad,-2.436679790024988,-233.4844105423116,34.540031714767814,190.3436953192367,host,-2.436679790024988,-233.4844105423116,34.540031714767814,190.3436953192367,Middle,Middle,inside
first,Backhand,guest,near,ad,-53.22820975500312,-516.670428696146,-3.2462653105844996,428.55126859120463,guest,-53.22820975500312,-516.670428696146,-3.2462653105844996,428.55126859120463,Middle,Middle,deep
first,Backhand,host,near,ad,-73.45043197721489,-566.6092738404772,19.530719597540216,208.85744750645378,host,-73.45043197721489,-566.6092738404772,19.530719597540216,208.85744750645378,Middle,Middle,deep
first,Forehand,host,far,ad,46.13125546804266,511.4182469376185,-37.99490376201012,-257.19591535419784,host,-46.13125546804266,-511.4182469376185,37.99490376201012,257.19591535419784,Middle,Middle,mid
first,Backhand,guest,far,ad,185.87503280830293,499.0275043741954,-153.49142060359526,-405.6340004372358,guest,-185.87503280830293,-499.0275043741954,153.49142060359526,405.6340004372358,Cross Court,Cross Court,mid
first,Backhand,guest,near,ad,-161.60932305328487,-494.3417760277411,37.657305336813444,146.691568241394,guest,-161.60932305328487,-494.3417760277411,37.657305336813444,146.691568241394,Middle,Middle,mid
first,Backhand,guest,near,ad,-194.92619203839448,-485.4439523182094,-18.327116141722815,342.5297736218703,guest,-194.92619203839448,-485.4439523182094,-18.327116141722815,342.5297736218703,Middle,Middle,mid
first,Backhand,host,far,ad,136.9697670602967,504.1261592298359,34.061384514418094,-262.9823217408965,host,-136.9697670602967,-504.1261592298359,-34.061384514418094,262.9823217408965,Middle,Middle,mid
first,Forehand,Net,far,ad,3.0828630796134555,462.7273293960865,-48.05277230968646,89.80397528429305,guest,-3.0828630796134555,-462.7273293960865,48.05277230968646,0.0,Middle,Middle,mid
